player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Roman Safiullin,2023-wimbledon-1311,1,1,1,00:00:00,0,0,1,1,0,0,0,0,0,0,0,0,0,98.0,1,B,NCTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,2,00:00:41,0,15,0,0,1,0,0,0,0,0,0,0,0,119.0,0,BC,NCTL,ND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,3,00:01:04,15,15,0,0,1,0,0,0,0,0,0,0,0,135.0,0,BW,NCTL,,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,4,00:01:33,30,15,1,1,0,0,0,0,0,0,0,0,0,129.0,0,C,NCTL,ND,0.81,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,5,00:02:17,30,30,1,1,0,0,0,0,0,0,0,0,0,110.0,1,BW,NCTL,D,1.729,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,6,00:02:55,30,40,0,0,1,0,0,0,1,1,1,0,0,117.0,0,BW,NCTL,ND,2.5561,1.5390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,7,00:03:22,40,40,0,0,1,0,0,0,0,0,0,0,0,129.0,0,C,NCTL,ND,2.30049,2.3851,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,8,00:03:55,AD,40,1,1,0,0,0,0,0,0,0,0,0,132.0,0,C,CTL,D,2.070441,3.14659,0.0,0.0,0.9,0.9,0.9,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,9,00:04:34,40,40,1,1,0,0,0,0,0,0,0,0,0,121.0,1,W,NCTL,D,2.8633969,2.831931,0.0,0.0,0.81,0.81,0.81,0.0,0.0
Roman Safiullin,2023-wimbledon-1311,1,1,10,00:05:06,40,AD,1,1,0,0,1,0,1,1,0,0,0,119.0,0,BC,NCTL,ND,3.5770572100000004,2.5487379000000003,0.0,0.0,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.0,0.0
